"census_tract","aug","oct"
36061000100,6,3
36061000201,91,125
36061000202,276,291
36061000500,19,26
36061000600,360,415
36061000700,311,441
36061000800,299,339
36061000900,216,234
36061001001,71,90
36061001002,228,249
36061001200,130,127
36061001300,401,546
36061001401,210,734
36061001402,91,118
36061001501,264,369
36061001502,318,470
36061001600,223,283
36061001800,263,273
36061002000,191,211
36061002100,369,444
36061002201,317,338
36061002202,56,73
36061002400,194,218
36061002500,223,248
36061002601,112,120
36061002602,110,133
36061002700,328,297
36061002800,220,235
36061002900,222,289
36061003001,111,121
36061003002,78,91
36061003100,3540,6346
36061003200,353,422
36061003300,302,393
36061003400,162,198
36061003601,103,111
36061003602,91,108
36061003700,180,185
36061003800,189,230
36061003900,177,205
36061004000,175,250
36061004100,197,219
36061004200,107,173
36061004300,122,151
36061004400,352,410
36061004500,54,75
36061004700,76,103
36061004800,137,153
36061004900,121,127
36061005000,152,165
36061005200,263,367
36061005400,105,156
36061005501,175,209
36061005502,166,181
36061005600,142,179
36061005700,88,101
36061005800,144,154
36061005900,70,142
36061006000,115,127
36061006100,120,166
36061006200,233,278
36061006300,96,178
36061006400,180,257
36061006500,349,444
36061006600,313,384
36061006700,82,120
36061006800,152,191
36061006900,60,87
36061007000,227,243
36061007100,105,156
36061007200,251,263
36061007300,93,116
36061007400,161,178
36061007500,76,94
36061007600,248,317
36061007700,203,195
36061007800,235,300
36061007900,102,114
36061008000,179,209
36061008100,193,200
36061008200,88,114
36061008300,163,201
36061008400,156,159
36061008601,398,706
36061008602,62,103
36061008603,242,398
36061008700,143,128
36061008800,215,266
36061008900,109,167
36061009000,200,223
36061009100,184,209
36061009200,176,178
36061009300,185,205
36061009400,146,149
36061009500,300,252
36061009600,156,170
36061009700,258,392
36061009800,213,248
36061009900,427,534
36061010000,159,200
36061010100,201,333
36061010200,65,70
36061010300,178,216
36061010400,83,111
36061010601,129,185
36061010602,158,193
36061010800,256,318
36061010900,124,152
36061011000,200,252
36061011100,311,337
36061011201,71,121
36061011202,69,68
36061011203,48,79
36061011300,197,252
36061011401,177,138
36061011402,186,196
36061011500,227,254
36061011600,314,346
36061011700,175,200
36061011800,528,936
36061011900,170,193
36061012000,97,140
36061012100,340,348
36061012200,63,91
36061012400,271,303
36061012500,192,190
36061012600,276,395
36061012700,354,301
36061012800,133,215
36061012900,380,414
36061013000,75,83
36061013100,186,178
36061013200,224,320
36061013300,261,205
36061013400,235,279
36061013500,404,503
36061013600,386,457
36061013700,242,275
36061013800,279,315
36061013900,247,269
36061014000,137,211
36061014200,73,125
36061014300,731,785
36061014401,116,149
36061014402,134,196
36061014500,202,292
36061014601,114,140
36061014602,194,239
36061014700,62,49
36061014801,91,126
36061014802,155,208
36061014900,108,151
36061015001,45,54
36061015002,89,144
36061015100,358,429
36061015200,257,306
36061015300,141,179
36061015400,713,614
36061015500,392,389
36061015601,153,168
36061015602,110,107
36061015700,202,244
36061015801,87,128
36061015802,85,90
36061015900,158,229
36061016001,58,93
36061016002,59,72
36061016100,116,137
36061016200,388,359
36061016300,138,158
36061016400,306,329
36061016500,710,415
36061016600,275,277
36061016700,143,180
36061016800,250,274
36061016900,136,211
36061017000,332,298
36061017100,140,176
36061017200,317,269
36061017300,174,207
36061017401,196,169
36061017402,94,92
36061017500,182,234
36061017700,201,251
36061017800,156,169
36061017900,215,246
36061018000,322,368
36061018100,242,238
36061018200,363,334
36061018300,228,214
36061018400,326,323
36061018500,150,140
36061018600,368,497
36061018700,275,366
36061018800,198,198
36061018900,373,382
36061019000,160,152
36061019100,221,246
36061019200,280,298
36061019300,229,222
36061019400,287,274
36061019500,173,204
36061019600,164,187
36061019701,76,81
36061019702,64,69
36061019800,98,128
36061019900,112,113
36061020000,87,92
36061020101,23,32
36061020102,146,142
36061020300,40,47
36061020500,262,315
36061020600,153,164
36061020701,28,47
36061020800,233,248
36061020901,152,131
36061021000,246,265
36061021100,271,314
36061021200,266,258
36061021303,199,191
36061021400,112,113
36061021500,177,165
36061021600,302,297
36061021703,99,106
36061021800,300,289
36061021900,285,271
36061022000,228,241
36061022102,88,91
36061022200,142,155
36061022301,196,205
36061022302,110,93
36061022400,303,283
36061022500,485,523
36061022600,206,205
36061022700,161,160
36061022800,290,297
36061022900,275,297
36061023000,544,531
36061023100,209,213
36061023200,388,401
36061023300,217,232
36061023400,230,246
36061023501,278,257
36061023502,94,106
36061023600,654,493
36061023700,237,228
36061023801,212,340
36061023802,131,154
36061023900,78,92
36061024000,125,155
36061024100,227,263
36061024200,206,215
36061024301,111,118
36061024302,307,286
36061024500,475,461
36061024700,376,302
36061024900,36,37
36061025100,164,151
36061025300,310,285
36061025500,194,192
36061025700,151,136
36061025900,165,192
36061026100,363,294
36061026300,236,280
36061026500,183,172
36061026700,45,46
36061026900,245,279
36061027100,195,219
36061027300,312,216
36061027500,50,55
36061027700,186,160
36061027900,302,263
36061028100,42,55
36061028300,194,197
36061028500,216,184
36061028700,328,305
36061029100,307,266
36061029300,279,251
36061029500,167,158
36061029700,37,67
36061029900,209,216
36061030300,194,212
36061030700,70,76
36061030900,273,261
36061031100,466,499
36061031703,267,217
36061031704,262,367
36061031900,23,14
